t_yr,body,a_au,e
740.0,TRAPPIST-1 b,0.011519133855877222,0.006976754202693636
740.0,TRAPPIST-1 c,0.01579133979232494,0.010209674186521448
740.0,TRAPPIST-1 d,0.022358250161372564,0.020563557435446824
740.0,TRAPPIST-1 e,0.029234237798694232,0.013164920936104173
740.0,TRAPPIST-1 f,0.039366298470748226,0.01639184982455635
740.0,TRAPPIST-1 g,0.04702151436289737,0.01581093853963831
740.0,TRAPPIST-1 h,0.062154322261404514,0.027040965803872906
740.0,TRAPPIST-1 e moon (safe),0.00013577944967091608,0.08380681952433348
740.0,TRAPPIST-1 g moon (risky),-3.718821728614432e-07,37294.92115280702
760.0,TRAPPIST-1 b,0.011522789541711065,0.01477815282027884
760.0,TRAPPIST-1 c,0.015789585628013372,0.00961787427739808
760.0,TRAPPIST-1 d,0.022362893769335725,0.022315318341295354
760.0,TRAPPIST-1 e,0.02925701318747403,0.008767640969455849
760.0,TRAPPIST-1 f,0.0393108728224822,0.028179357103396457
760.0,TRAPPIST-1 g,0.04705609108248433,0.013667956320762634
760.0,TRAPPIST-1 h,0.06212399553803069,0.01797141558745984
760.0,TRAPPIST-1 e moon (safe),0.00013700286306078807,0.054721225069445455
760.0,TRAPPIST-1 g moon (risky),-3.3884438126240495e-06,9068.001140198632
780.0,TRAPPIST-1 b,0.011521767179481628,0.015278253302657772
780.0,TRAPPIST-1 c,0.015786690765086632,0.017276939403152475
780.0,TRAPPIST-1 d,0.02237394543352322,0.009682048820233474
780.0,TRAPPIST-1 e,0.02915926534808987,0.014765264289616123
780.0,TRAPPIST-1 f,0.03933618647548884,0.01278245361016157
780.0,TRAPPIST-1 g,0.04702191386735264,0.019238402876841556
780.0,TRAPPIST-1 h,0.062158470772801344,0.02495927852093917
780.0,TRAPPIST-1 e moon (safe),0.0001356693453071324,0.0833073167991868
780.0,TRAPPIST-1 g moon (risky),-3.57683120417509e-06,7899.179937388614
800.0,TRAPPIST-1 b,0.011517476620325621,0.019616472641290638
800.0,TRAPPIST-1 c,0.015791882116921948,0.016263830635493887
800.0,TRAPPIST-1 d,0.022364322576848998,0.01590717102866916
800.0,TRAPPIST-1 e,0.029119889292358286,0.0017388293483987976
800.0,TRAPPIST-1 f,0.03932115043308686,0.02327473520037831
800.0,TRAPPIST-1 g,0.04706897859909233,0.008797799674531016
800.0,TRAPPIST-1 h,0.0621831991861699,0.032523550974425074
800.0,TRAPPIST-1 e moon (safe),0.00013725187017377233,0.07515523351588053
800.0,TRAPPIST-1 g moon (risky),-2.9426240867717236e-06,19466.223231295477
820.0,TRAPPIST-1 b,0.011528004008475314,0.017561936110092474
820.0,TRAPPIST-1 c,0.01579951014201246,0.015928692710224984
820.0,TRAPPIST-1 d,0.022363367912422202,0.014441236951596218
820.0,TRAPPIST-1 e,0.029209522581520753,0.009071849389389697
820.0,TRAPPIST-1 f,0.039240416605629956,0.027535160682597867
820.0,TRAPPIST-1 g,0.047141431001168035,0.013758920630310811
820.0,TRAPPIST-1 h,0.062166239294244634,0.03186116244259215
820.0,TRAPPIST-1 e moon (safe),0.0001358474781905688,0.07688974678131393
820.0,TRAPPIST-1 g moon (risky),-1.5789337446863055e-06,39181.823765606845
840.0,TRAPPIST-1 b,0.011475646250482781,0.013587196072530911
840.0,TRAPPIST-1 c,0.01581260275631518,0.011749570685461619
840.0,TRAPPIST-1 d,0.022413539561149748,0.016543503170111502
840.0,TRAPPIST-1 e,0.029111158541756353,0.01125406435008139
840.0,TRAPPIST-1 f,0.039255264057879866,0.021370469226701105
840.0,TRAPPIST-1 g,0.047111135708153916,0.01983902610228975
840.0,TRAPPIST-1 h,0.06216811875064521,0.019568425390975832
840.0,TRAPPIST-1 e moon (safe),0.00013630945112779645,0.053060080331428346
840.0,TRAPPIST-1 g moon (risky),-5.203723441810313e-07,150757.84977374904
860.0,TRAPPIST-1 b,0.011524974150644086,0.009362359701300232
860.0,TRAPPIST-1 c,0.015816531806319294,0.012455346498225122
860.0,TRAPPIST-1 d,0.022420590129876645,0.010228694115031257
860.0,TRAPPIST-1 e,0.029174200620314953,0.012398353408549693
860.0,TRAPPIST-1 f,0.03932353494158127,0.010975344331633234
860.0,TRAPPIST-1 g,0.04710089862268095,0.024057937077716206
860.0,TRAPPIST-1 h,0.062228197592757654,0.02623532138784667
860.0,TRAPPIST-1 e moon (safe),0.0001350550757505434,0.09367469947356086
860.0,TRAPPIST-1 g moon (risky),-6.60807696752169e-06,567.5730014578262
880.0,TRAPPIST-1 b,0.011528712037929278,0.018211898126070915
880.0,TRAPPIST-1 c,0.01582246757398858,0.01466797499156989
880.0,TRAPPIST-1 d,0.022414422463234433,0.006459087907810565
880.0,TRAPPIST-1 e,0.029219537630709783,0.005567989587032215
